,ret,AUM,ret_spy,AUM_SPX
2022-10-20,-0.003238872339411136,107621700.29480006,-0.001395,89373802.09065834
2022-10-21,0.0,107621700.29480006,0.025281,91633261.1813123
2022-10-24,0.0,107621700.29480006,0.021188,93574786.71922192
2022-10-25,0.0,107621700.29480006,0.013792,94865370.17765345
2022-10-26,0.0,107621700.29480006,-0.077156,87545937.67622642
2022-10-27,-0.022802788501554344,105167625.42480007,-0.019756,85816380.13149488
2022-10-28,0.0,105167625.42480007,0.040221,89268000.75676374
2022-10-31,0.0,105167625.42480007,-0.015856,87852567.3367645
2022-11-01,0.0,105167625.42480007,-0.017059,86353890.39056662
2022-11-02,0.0,105167625.42480007,-0.035368,83299725.99523306
2022-11-03,0.015011621624269526,106746362.02480008,-0.026579,81085702.57800576
2022-11-04,0.0,106746362.02480008,0.033326,83787964.70212038
2022-11-07,0.012665764756328565,108098386.33480008,0.02927,86240438.42895143
2022-11-08,0.0,108098386.33480008,0.004388,86618861.47277768
2022-11-09,0.0,108098386.33480008,-0.01905,84968772.16172126
2022-11-10,0.01562917992843433,109787875.46480007,0.082268,91958983.10992174
2022-11-11,0.0,109787875.46480007,0.016997,93522009.94584107
2022-11-14,-0.002251645028683127,109540672.14080007,-0.0225,91417764.72205965
2022-11-15,0.0,109540672.14080007,0.001739,91576740.21491131
2022-11-16,0.0,109540672.14080007,0.001818,91743226.72862203
2022-11-17,0.0,109540672.14080007,-0.000207,91724235.8806892
2022-11-18,0.0,109540672.14080007,-0.001903,91549684.65980826
2022-11-21,-0.0016023944035542827,109365144.78080007,0.003441,91864707.12472266
2022-11-22,0.0,109365144.78080007,0.012312,92995745.39884226
2022-11-23,0.0,109365144.78080007,0.010407,93963552.12120803
2022-11-25,0.0,109365144.78080007,-0.000364,93929349.38823591
2022-11-28,0.0,109365144.78080007,-0.023153,91754603.16185008
2022-11-29,0.0,109365144.78080007,-0.005915,91211874.68414773
2022-11-30,0.0,109365144.78080007,0.061624,96832715.24968365
2022-12-01,0.0,109365144.78080007,-0.001764,96661902.3399832
2022-12-02,0.0,109365144.78080007,0.001296,96787176.16541581
2022-12-05,0.0,109365144.78080007,-0.018901,94957801.74871328
2022-12-06,0.0,109365144.78080007,-0.020304,93029778.5420074
2022-12-07,-0.0011918795541418653,109234794.70080008,-0.00306,92745107.41966885
2022-12-08,0.0,109234794.70080008,0.012399,93895054.00656533
2022-12-09,0.0,109234794.70080008,-0.008003,93143611.8893508
