,Non-Robust RL,Momentum,Robust RL ($\ell_p$-Ball),Robust RL ($\ell_p$-Ellipse),SPY
2022-07-14,102486.67468177018,100916.96883658947,101205.97213859422,100789.16898200498,108258.76759528834
2022-07-15,100656.1552980866,100916.96883658947,103064.79941695905,100959.43020347341,107542.93651005636
2022-07-18,100197.92315742733,100916.96883658947,103701.19651948578,101147.7146271313,106362.349421726
2022-07-19,101265.80944392548,103051.75261800503,102744.41887530354,101695.06383745417,105553.03293357194
2022-07-20,101558.03817890491,101919.65555540372,102305.07781677016,102106.8037754493,105884.23836106733
2022-07-21,101846.69384238,100588.81348871472,102283.27594470215,101880.71999450344,104767.75554902642
2022-07-22,102585.9630644237,101455.33053204544,101539.83315170388,102888.00731574585,104372.44584524159
2022-07-25,102833.11264469521,101455.33053204544,101405.12677945718,102829.83468187929,106247.49592670743
2022-07-26,101359.33847886776,101389.08017829388,102528.65354864222,101077.81962125808,106941.95891984295
2022-07-27,101924.78317948774,101784.1122971792,102386.60169721767,100627.90896258087,108603.32808034406
2022-07-28,103056.07659280408,101631.2543082381,101587.07267125946,100689.37401832832,109770.5601111141
2022-07-29,102836.06925777915,101947.27520257421,100698.26533623454,101080.84836640832,104997.46253906356
2022-08-01,104368.58834275935,101947.27520257421,103656.36648899209,102149.99422322404,105398.11426587251
2022-08-02,104260.54768516048,101947.27520257421,103322.41236736494,102209.17952779125,104201.50110846979
2022-08-03,104636.26109479232,102858.44238810224,102452.67489666893,102262.83270715004,102983.51985897061
2022-08-04,103501.02961548911,102858.44238810224,103103.43158765748,102949.73726830295,103782.15230107644
2022-08-05,102844.76915271062,102858.44238810224,103364.42985389997,102827.80198705778,102590.88116669783
2022-08-08,102079.69374007173,102593.5394755389,102892.22070984833,103706.1717278028,100801.30345361789
2022-08-09,102574.62623482128,102593.5394755389,103631.09575560343,105116.37592193694,99954.592804295
2022-08-10,102924.68445813023,102593.5394755389,103447.59915785927,105511.28198989916,98279.8685862336
2022-08-11,101296.37237949565,102593.5394755389,101788.03425048449,107151.87031525964,97307.62039584391
2022-08-12,101288.9373889357,103744.78578760452,101137.58399548278,107917.17513762556,97059.21632522237
2022-08-15,101096.25372750094,103744.78578760452,101303.01270862744,108162.8149574553,98968.98955634498
2022-08-16,100564.48656311138,103815.64093567836,101338.33044996462,106226.83631334253,96901.62664601086
2022-08-17,100695.15935857498,103815.64093567836,100061.57635640353,106149.54738345178,95403.1891877454
2022-08-18,101389.50512284406,103815.64093567836,100290.85143887144,107655.8765449461,97921.95304361763
2022-08-19,99234.4151798363,103903.53674413284,102323.3967161672,106253.70765528432,100956.22212131736
2022-08-22,98894.34277011457,104445.3470687596,105381.79947801103,105981.73560549511,100721.1731082561
2022-08-23,99059.30133874106,104445.3470687596,105456.64706078105,105922.45181889672,99682.14963006492
2022-08-24,98799.8344708615,103800.6129049047,105523.40039105489,105729.86331449634,96901.62664601085
2022-08-25,96757.34530585416,103453.89099855485,106794.61448866247,105844.40398841954,96161.75645717033
2022-08-26,96724.38295861412,107770.711107242,107324.12291104996,105530.42225078752,95552.76583242074
2022-08-29,96225.75791345269,107770.711107242,107426.6414871714,105448.77977751128,95237.5864739977
2022-08-30,96008.696834094,108429.4807240364,107458.76989616084,105570.08548615772,97751.0083068458
2022-08-31,94775.94417448396,108429.4807240364,107035.29659062719,105767.57903913147,95523.38470578808
2022-09-01,96622.3687262685,108166.21957499937,106844.85122611614,104334.40507155735,97978.04428537087
2022-09-02,95099.04974653246,108504.52035911886,107355.23235351,102391.84361161813,99129.25024706857
2022-09-06,95394.10676817517,106805.81761493497,106474.17881718972,101393.64260977105,98426.77421939689
2022-09-07,94931.888815096,109009.91225394914,106788.9353858596,101950.77069219826,97601.43166217046
2022-09-08,95248.00359080122,108880.27097776395,107252.17520467791,102085.28942236738,99973.28988487941
2022-09-09,93867.30542450602,109250.61974355034,105995.47515828552,102757.4736640862,101196.61315740271
2022-09-12,93785.08680043643,109013.92262787487,105334.26263103983,101808.84109882523,102812.57512219879
2022-09-13,94659.42354903911,110081.81685317238,104164.405230296,101585.63874188642,102037.98178370149
2022-09-14,94115.34921693098,110081.81685317238,104470.83163822573,101320.48113650591,101493.09543524134
2022-09-15,93846.10902854524,110081.81685317238,104067.86954277659,101422.00594739607,103907.68984214323
2022-09-16,94936.18188869223,109514.55081244037,104193.98020770491,102899.62331396333,103157.13560725446
2022-09-19,95043.80144240297,109514.55081244037,104359.0788959675,102626.37998957964,102705.7346617164
2022-09-20,95212.97578683442,108930.20929209395,103944.11870531595,102418.0161344277,100128.20855257887
2022-09-21,93203.42740199006,108930.20929209395,101500.12915923298,102099.17252313062,99097.19810892384
2022-09-22,93280.38960981992,108292.02836542741,100691.62690580585,102399.35755235885,100523.51825636369
2022-09-23,92716.38862418075,108028.92660761897,101696.89331622481,101186.19435485503,101485.08240070516
2022-09-26,92784.6724538669,107462.5659143654,101646.33306597202,101078.19226179051,102032.63976067738
2022-09-27,93125.67621346151,107433.77272463747,101262.52839412159,100976.68014132397,99930.55370068646
