,Non-Robust RL,Momentum,Robust RL ($\ell_p$-Ball),Robust RL ($\ell_p$-Ellipse),MSFT
2022-06-17,97461.55656694855,98331.69492279708,92392.70471080786,99885.07305632101,111590.88215541423
2022-06-21,99506.34054703562,97830.69862440243,89843.64029118576,97191.68266729383,112057.04578674989
2022-06-22,99680.88178622542,97077.72489014763,89929.17077592097,96786.94247587422,111764.70588235294
2022-06-23,99438.34850998972,96787.31843465939,90183.24535751424,97063.44237848313,110741.5162169636
2022-06-24,98740.56725900163,97195.1771202889,90288.65570482828,97929.39236303883,111523.72298818787
2022-06-27,99320.71753883122,97219.41182125035,90108.33494276693,97257.11234748656,114233.79291273259
2022-06-28,100998.31559021937,98265.07585570899,89576.37086520354,94904.2116745293,113388.37751353059
2022-06-29,100862.39987864811,97501.88761661608,89786.4679815053,95538.33078449896,115320.19120609964
2022-06-30,99891.10513398156,97661.4190913305,89143.60683484923,93910.89613705232,115936.4753288824
2022-07-01,100106.38685559641,97661.4190913305,89386.12007017629,93403.83340425894,115636.23434598822
2022-07-05,100170.11567901875,97661.4190913305,89549.5905607504,93685.20336797847,115087.10939043178
2022-07-06,99991.48175327528,97260.25624188373,89679.21502992004,94129.7649519267,114632.79737684193
2022-07-07,99771.43757836112,96983.42273256506,89899.13549639727,94507.27612855178,113044.68059890173
2022-07-08,98713.52501684248,96983.42273256506,90030.33262334144,95827.47587632191,109726.22763007152
2022-07-11,97974.82377696535,96533.05595252423,90071.78881052276,98566.47348458362,109208.70698850394
2022-07-12,97873.29371605197,98621.02186742355,90231.75778613436,99074.12342367023,108951.92193734446
2022-07-13,97830.5108564547,98621.02186742355,90167.66879936511,99274.12520457801,110160.78694741834
2022-07-14,97773.96438559808,98351.31146439594,89715.46723908279,98592.70364429566,105910.00671591671
2022-07-15,98867.58164994401,97772.7963240231,92401.28646411657,102068.91913215115,104780.152490815
2022-07-18,98462.38438077689,97772.7963240231,93341.21552888463,102301.47595722946,103887.33062062971
2022-07-19,99151.67067214461,97772.7963240231,94044.23683315606,103075.49177053131,103294.74973333861
2022-07-20,99560.38267428215,96685.60127150225,94436.3926706576,103537.5707299067,102872.04203373758
2022-07-21,99617.0492831881,96438.65484347449,94675.98427833716,103844.65956802948,101157.50799984198
2022-07-22,100316.2596776062,97702.81814643752,96310.47385157531,105153.10842529526,100047.40647098329
2022-07-25,100408.31873756768,97314.00341598061,97342.73086936401,106054.27256107179,101959.46746730928
2022-07-26,99985.52880537101,99393.97296906551,96112.42533887512,104714.76060557968,102129.34065499941
2022-07-27,99993.54471960827,100442.01717260598,95924.26376860654,104548.160174735,104475.96096867224
2022-07-28,98341.53973376982,101840.83876328285,93782.56049084569,102607.05965029327,105341.12906411728
2022-07-29,97802.07262374958,101840.83876328285,93043.20880977929,101849.62995741381,99549.6385256588
2022-08-01,102010.84953615422,101840.83876328285,95609.57955834354,101951.83517286452,99640.50092837676
2022-08-02,101975.81531319127,101563.16284199868,95555.99820484611,101858.24989146471,96938.33208232927
2022-08-03,104093.20016250428,102232.32144812272,97666.58906865967,104335.52339502503,96685.4975704184
2022-08-04,104154.65749738479,102232.32144812272,97873.64162260838,104450.2925243919,96598.58570694903
2022-08-05,104186.29795388968,102232.32144812272,97926.99513387607,104508.60117701674,95780.82408248728
2022-08-08,103930.0515035784,102232.32144812272,97650.01899899203,105281.78754073376,94398.13534547467
2022-08-09,105046.84392102825,101627.64018390268,96669.32262754365,106433.48727415974,95200.09481294197
2022-08-10,104295.15093231719,101627.64018390268,97100.6012929017,105849.03964358222,93991.2298028681
2022-08-11,103155.59341023472,101627.64018390268,96017.92612873993,106015.07348246036,93805.55445818354
2022-08-12,103098.90346335835,101627.64018390268,96130.40571830526,106206.83152674847,93394.69837632838
2022-08-15,103233.22320823709,101627.64018390268,96283.46660043596,106324.2424197787,95235.64966617944
2022-08-16,101916.10956291333,101627.64018390268,94356.4746077153,104693.27842171799,93825.30715442658
2022-08-17,101675.10876868566,101627.64018390268,94526.02093934706,105316.29952962304,92008.05910006717
