,ret,AUM,ret_spy,AUM_SPX
2022-09-08,0.0,87389158.13191982,0.010412,88075941.62706654
2022-09-09,0.0,87389158.13191982,0.043749,91929175.99730907
2022-09-12,0.0,87389158.13191982,-0.001123,91825939.5326641
2022-09-13,0.0,87389158.13191982,-0.093691,83222675.43190928
2022-09-14,-0.0016291909954413847,87246784.50239208,-0.010841,82320458.40755194
2022-09-15,0.0,87246784.50239208,-0.012676,81276964.27677782
2022-09-16,0.0,87246784.50239208,-0.021799,79505207.73250835
2022-09-19,0.0,87246784.50239208,0.011826,80445436.31915298
2022-09-20,0.0,87246784.50239208,-0.013039,79396508.27498753
2022-09-21,0.0,87246784.50239208,-0.027175,77238908.16261475
2022-09-22,-0.0020837900051472115,87064980.52486476,0.004926,77619387.02422379
2022-09-23,0.0,87064980.52486476,-0.016874,76309637.48757704
2022-09-26,-0.025106207194274033,84879109.08444208,-0.028773,74113980.28814697
2022-09-27,0.0,84879109.08444208,-0.014446,73043329.72890441
2022-09-28,0.02646633692640954,87125548.18348439,0.053646,76961812.19554122
2022-09-29,0.0,87125548.18348439,-0.036721,74135697.48990874
2022-09-30,0.0,87125548.18348439,-0.005352,73738923.23694275
2022-10-03,-0.0022671075050973884,86928025.19931188,0.021595,75331315.28424454
2022-10-04,0.0,86928025.19931188,0.012048,76238906.97078912
2022-10-05,0.0,86928025.19931188,-0.009267,75532401.01989082
2022-10-06,0.0,86928025.19931188,0.000648,75581346.0157517
2022-10-07,0.012431125762924013,88008638.41288716,-0.040411,72527028.24190916
2022-10-10,0.0,88008638.41288716,0.002548,72711827.10986955
2022-10-11,0.0,88008638.41288716,-0.039241,69858542.30225118
2022-10-12,-0.0021356050573437097,87820686.71960266,-0.008091,69293316.83648366
2022-10-13,0.0,87820686.71960266,0.021882,70809593.19549958
2022-10-14,0.0,87820686.71960266,-0.027093,68891148.8870539
2022-10-17,0.013455782195348763,89002382.75234759,0.057431,72847636.45878631
2022-10-18,0.0,89002382.75234759,-0.009251,72173722.97390607
2022-10-19,0.0,89002382.75234759,0.003238,72407421.48889558
2022-10-20,0.0,89002382.75234759,-0.01276,71483502.79069728
2022-10-21,-0.029964157817312088,86335501.30943944,-0.011556,70657439.43244797
2022-10-24,-0.023440291848853514,84311771.9618291,-0.002231,70499802.68507418
2022-10-25,0.02866217088259563,86728330.37721348,0.060052,74733456.83591826
2022-10-26,0.0,86728330.37721348,-0.055923,70554137.72928321
2022-10-27,0.0,86728330.37721348,-0.245571,53228087.57296541
2022-10-28,0.0,86728330.37721348,0.012865,53912866.919591606
2022-10-31,0.0,86728330.37721348,-0.060887,50630274.191458434
2022-11-01,0.0,86728330.37721348,0.021898,51738975.935702994
2022-11-02,0.0,86728330.37721348,-0.04895,49206353.063650325
2022-11-03,0.0,86728330.37721348,-0.018003,48320491.08944543
2022-11-04,0.0,86728330.37721348,0.021145,49342227.87353175
2022-11-07,0.0,86728330.37721348,0.065316,52565064.82931935
2022-11-08,0.0,86728330.37721348,-0.002585,52429184.136735566
2022-11-09,-0.002688342374240861,86495174.93161325,0.05183,55146588.750542566
2022-11-10,0.0,86495174.93161325,0.102493,60798728.07135192
2022-11-11,0.0,86495174.93161325,0.01028,61423738.99592543
2022-11-14,0.0,86495174.93161325,0.010618,62075936.25658416
2022-11-15,0.0,86495174.93161325,0.025039,63630255.62451278
2022-11-16,0.0,86495174.93161325,-0.032884,61537838.298556305
2022-11-17,-0.004406809495694713,86114007.17339285,-0.01572,60570463.480503
2022-11-18,0.0,86114007.17339285,0.005384,60896574.85588203
2022-11-21,0.0,86114007.17339285,-0.019545,59706351.30032382
2022-11-22,-0.013735468840392692,84931190.91114135,0.014382,60565048.044725075
2022-11-23,0.0,84931190.91114135,0.007179,60999844.52463816
2022-11-25,0.0,84931190.91114135,-0.007395,60548750.67437846
2022-11-28,0.0,84931190.91114135,-0.023607,59119376.3172084
2022-11-29,-0.00664784883309562,84366581.19274929,0.006251,59488931.53856728
2022-11-30,0.03795439294858617,87568663.5670677,0.078933,64184571.371701
2022-12-01,0.0,87568663.5670677,0.019814,65456324.46885988
2022-12-02,0.0,87568663.5670677,0.025324,67113940.42970929
2022-12-05,0.0,87568663.5670677,-0.008584,66537834.36506066
2022-12-06,0.0,87568663.5670677,-0.067876,62021512.31969779
2022-12-07,0.0,87568663.5670677,-0.001665,61918246.50168549
2022-12-08,0.0,87568663.5670677,0.012288,62679097.91469821
2022-12-09,0.0,87568663.5670677,0.004942,62988858.01659265
